Tiempo en segundos: 0.7756948471
Posiciones finales de los cuerpos:
Cuerpo 139: px=-0.375407, py=2.268711, pz=0.403677
Cuerpo 140: px=-0.372169, py=2.094685, pz=0.565629
Cuerpo 141: px=-0.371732, py=1.918303, pz=0.649499
Cuerpo 142: px=-0.371659, py=1.690261, pz=0.690082
Cuerpo 143: px=-0.372955, py=1.391280, pz=0.671064
Cuerpo 144: px=-0.382787, py=1.161620, pz=0.597100
Cuerpo 145: px=-0.397098, py=0.947500, pz=0.466895
Cuerpo 146: px=-0.424307, py=0.763124, pz=0.304951
Cuerpo 147: px=-0.450626, py=0.680334, pz=0.200057
Cuerpo 148: px=-0.443144, py=0.639871, pz=0.073697
Cuerpo 149: px=-0.420995, py=0.664936, pz=-0.127113
Cuerpo 150: px=-0.406099, py=0.772061, pz=-0.327312
Cuerpo 151: px=-0.385368, py=0.892216, pz=-0.444383
Cuerpo 152: px=-0.359719, py=1.014458, pz=-0.525292
Cuerpo 153: px=-0.338547, py=1.226108, pz=-0.626739
Cuerpo 154: px=-0.339731, py=1.505704, pz=-0.694338
Cuerpo 155: px=-0.343359, py=1.754384, pz=-0.694918
Cuerpo 156: px=-0.346191, py=1.991085, pz=-0.626102
Cuerpo 157: px=-0.351230, py=2.174366, pz=-0.519033
Cuerpo 158: px=-0.358125, py=2.296379, pz=-0.388314
Cuerpo 159: px=-0.367584, py=2.390944, pz=-0.179243
Cuerpo 160: px=-1.007490, py=2.201512, pz=-0.008580
Cuerpo 161: px=-1.002448, py=2.170957, pz=0.195692
Cuerpo 162: px=-0.974925, py=2.075943, pz=0.378126
Cuerpo 163: px=-0.923872, py=1.912009, pz=0.541474
Cuerpo 164: px=-0.866691, py=1.724609, pz=0.634337
Cuerpo 165: px=-0.801779, py=1.502522, pz=0.668682
Cuerpo 166: px=-0.732981, py=1.261768, pz=0.645069
Cuerpo 167: px=-0.676812, py=1.055115, pz=0.570057
Cuerpo 168: px=-0.631192, py=0.845343, pz=0.438515
Cuerpo 169: px=-0.593361, py=0.686631, pz=0.285796
Cuerpo 170: px=-0.573879, py=0.621894, pz=0.189597
Cuerpo 171: px=-0.571622, py=0.585256, pz=0.078358
Cuerpo 172: px=-0.583325, py=0.596755, pz=-0.111597
Cuerpo 173: px=-0.596853, py=0.691266, pz=-0.302764
Cuerpo 174: px=-0.598041, py=0.810348, pz=-0.418941
Cuerpo 175: px=-0.610335, py=0.917261, pz=-0.493489
Cuerpo 176: px=-0.662234, py=1.116035, pz=-0.594672
Cuerpo 177: px=-0.735786, py=1.381277, pz=-0.662385
Cuerpo 178: px=-0.795404, py=1.590332, pz=-0.668206
Cuerpo 179: px=-0.853989, py=1.781686, pz=-0.622244
Cuerpo 180: px=-0.913892, py=1.963822, pz=-0.517708
Cuerpo 181: px=-0.964240, py=2.103525, pz=-0.356541
Cuerpo 182: px=-0.999054, py=2.187867, pz=-0.142500
Cuerpo 183: px=-1.559410, py=1.831222, pz=-0.002767
Cuerpo 184: px=-1.543495, py=1.797668, pz=0.199272
Cuerpo 185: px=-1.480965, py=1.695767, pz=0.407021
Cuerpo 186: px=-1.404176, py=1.570618, pz=0.534674
Cuerpo 187: px=-1.319465, py=1.429587, pz=0.604017
Cuerpo 188: px=-1.194913, py=1.228061, pz=0.644529
Cuerpo 189: px=-1.073729, py=1.032072, pz=0.623884
Cuerpo 190: px=-0.959117, py=0.850707, pz=0.546434
Cuerpo 191: px=-0.844739, py=0.681306, pz=0.417076
Cuerpo 192: px=-0.772601, py=0.578232, pz=0.300312
Cuerpo 193: px=-0.721766, py=0.523573, pz=0.196738
Cuerpo 194: px=-0.720691, py=0.461984, pz=0.052701
Cuerpo 195: px=-0.735078, py=0.472253, pz=-0.111840
Cuerpo 196: px=-0.737141, py=0.569972, pz=-0.264716
Cuerpo 197: px=-0.755046, py=0.680791, pz=-0.376129
Cuerpo 198: px=-0.817919, py=0.798818, pz=-0.479715
Cuerpo 199: px=-0.911878, py=0.932569, pz=-0.569477
Cuerpo 200: px=-1.042730, py=1.125560, pz=-0.634669
Cuerpo 201: px=-1.186973, py=1.332498, pz=-0.642484
Cuerpo 202: px=-1.305829, py=1.498333, pz=-0.592937
